filename,class_label,label,width,height,aspect_ratio,mean_intensity,std_intensity,min_intensity,max_intensity,contrast_glcm,homogeneity_glcm,energy_glcm,correlation_glcm,entropy_glcm,edge_density
infected/Image_001.jpg,1,infected,343,343,1.0,100.3228,88.5015,0.0,255.0,136.5488,0.4451,0.2107,0.9912,9.7382,0.188
infected/Image_002.jpg,1,infected,343,343,1.0,100.3228,88.5015,0.0,255.0,136.5488,0.4451,0.2107,0.9912,9.7382,0.188
infected/Image_003.jpg,1,infected,225,225,1.0,59.0154,46.8027,0.0,249.0,339.279,0.3089,0.0817,0.9205,11.633,0.2377
infected/Image_004.jpg,1,infected,225,225,1.0,59.0154,46.8027,0.0,249.0,339.279,0.3089,0.0817,0.9205,11.633,0.2377
infected/Image_005.jpg,1,infected,299,266,1.1241,100.3233,76.8995,0.0,255.0,348.3914,0.2906,0.0643,0.97,11.649,0.2071
infected/Image_006.jpg,1,infected,299,266,1.1241,100.3233,76.8995,0.0,255.0,348.3914,0.2906,0.0643,0.97,11.649,0.2071
infected/Image_007.jpg,1,infected,300,300,1.0,65.673,57.1293,0.0,251.0,291.9951,0.3488,0.1149,0.954,11.0885,0.2384
infected/Image_008.jpg,1,infected,300,300,1.0,65.673,57.1293,0.0,251.0,291.9951,0.3488,0.1149,0.954,11.0885,0.2384
infected/Image_009.jpg,1,infected,225,225,1.0,67.1926,52.0225,0.0,255.0,213.3822,0.3315,0.0763,0.9597,11.4538,0.2292
infected/Image_010.jpg,1,infected,225,225,1.0,67.1926,52.0225,0.0,255.0,213.3822,0.3315,0.0763,0.9597,11.4538,0.2292
infected/Image_011.jpg,1,infected,299,266,1.1241,103.7893,78.7514,0.0,255.0,118.1775,0.1967,0.0329,0.9904,12.0301,0.1935
infected/Image_012.jpg,1,infected,299,266,1.1241,103.7893,78.7514,0.0,255.0,118.1775,0.1967,0.0329,0.9904,12.0301,0.1935
infected/Image_013.jpg,1,infected,300,300,1.0,70.1077,56.1563,0.0,247.0,274.7403,0.2967,0.0965,0.9552,11.4336,0.2507
infected/Image_014.jpg,1,infected,300,300,1.0,70.1077,56.1563,0.0,247.0,274.7403,0.2967,0.0965,0.9552,11.4336,0.2507
infected/Image_015.jpg,1,infected,300,300,1.0,74.0358,64.4872,0.0,250.0,237.1085,0.4108,0.1603,0.9706,10.3322,0.2424
infected/Image_016.jpg,1,infected,300,300,1.0,74.0358,64.4872,0.0,250.0,237.1085,0.4108,0.1603,0.9706,10.3322,0.2424
infected/Image_017.jpg,1,infected,233,216,1.0787,58.5981,47.7945,0.0,255.0,239.0264,0.195,0.0638,0.9432,11.9327,0.2513
infected/Image_018.jpg,1,infected,233,216,1.0787,58.5981,47.7945,0.0,255.0,239.0264,0.195,0.0638,0.9432,11.9327,0.2513
infected/Image_019.jpg,1,infected,233,216,1.0787,53.9167,50.2477,0.0,255.0,278.3003,0.2816,0.1386,0.9414,11.1643,0.2187
infected/Image_020.jpg,1,infected,233,216,1.0787,53.9167,50.2477,0.0,255.0,278.3003,0.2816,0.1386,0.9414,11.1643,0.2187
infected/Image_021.jpg,1,infected,343,343,1.0,81.8272,72.6145,0.0,255.0,154.9361,0.3246,0.1141,0.985,10.8112,0.2057
infected/Image_022.jpg,1,infected,343,343,1.0,81.8272,72.6145,0.0,255.0,154.9361,0.3246,0.1141,0.985,10.8112,0.2057
infected/Image_023.jpg,1,infected,233,216,1.0787,57.1705,47.6037,0.0,254.0,267.5853,0.2725,0.1014,0.9366,11.5326,0.2279
infected/Image_024.jpg,1,infected,233,216,1.0787,57.1705,47.6037,0.0,254.0,267.5853,0.2725,0.1014,0.9366,11.5326,0.2279
infected/Image_025.jpg,1,infected,300,300,1.0,60.1265,47.889,0.0,249.0,317.0819,0.2317,0.0528,0.929,12.0501,0.244
infected/Image_026.jpg,1,infected,300,300,1.0,60.1265,47.889,0.0,249.0,317.0819,0.2317,0.0528,0.929,12.0501,0.244
infected/Image_027.jpg,1,infected,343,343,1.0,66.002,67.9689,0.0,255.0,165.117,0.3609,0.1035,0.9817,10.5365,0.1708
infected/Image_028.jpg,1,infected,343,343,1.0,66.002,67.9689,0.0,255.0,165.117,0.3609,0.1035,0.9817,10.5365,0.1708
infected/Image_029.jpg,1,infected,320,320,1.0,86.364,75.0304,0.0,254.0,121.5679,0.3753,0.138,0.989,10.3833,0.1935
infected/Image_030.jpg,1,infected,320,320,1.0,86.364,75.0304,0.0,254.0,121.5679,0.3753,0.138,0.989,10.3833,0.1935
infected/Image_031.jpg,1,infected,300,300,1.0,73.0596,63.5575,0.0,251.0,205.6194,0.4546,0.1592,0.9739,10.1758,0.2289
infected/Image_032.jpg,1,infected,300,300,1.0,73.0596,63.5575,0.0,251.0,205.6194,0.4546,0.1592,0.9739,10.1758,0.2289
infected/Image_033.jpg,1,infected,343,343,1.0,59.4408,44.999,0.0,255.0,212.0032,0.2413,0.0674,0.9461,11.5098,0.1822
infected/Image_034.jpg,1,infected,343,343,1.0,59.4408,44.999,0.0,255.0,212.0032,0.2413,0.0674,0.9461,11.5098,0.1822
infected/Image_035.jpg,1,infected,280,259,1.0811,50.9318,48.776,0.0,255.0,288.3004,0.2996,0.1328,0.9319,11.0822,0.2324
infected/Image_036.jpg,1,infected,280,259,1.0811,50.9318,48.776,0.0,255.0,288.3004,0.2996,0.1328,0.9319,11.0822,0.2324
infected/Image_037.jpg,1,infected,225,225,1.0,59.5007,50.003,0.0,255.0,242.5901,0.3069,0.0588,0.95,11.5342,0.2517
infected/Image_038.jpg,1,infected,225,225,1.0,59.5007,50.003,0.0,255.0,242.5901,0.3069,0.0588,0.95,11.5342,0.2517
infected/Image_039.jpg,1,infected,225,225,1.0,60.4462,49.3324,0.0,254.0,271.8361,0.233,0.0747,0.9424,11.8402,0.2672
infected/Image_040.jpg,1,infected,225,225,1.0,60.4462,49.3324,0.0,254.0,271.8361,0.233,0.0747,0.9424,11.8402,0.2672
infected/Image_041.jpg,1,infected,300,300,1.0,61.3422,46.9525,0.0,252.0,341.9144,0.234,0.0454,0.9204,12.1481,0.2425
infected/Image_042.jpg,1,infected,300,300,1.0,61.3422,46.9525,0.0,252.0,341.9144,0.234,0.0454,0.9204,12.1481,0.2425
infected/Image_043.jpg,1,infected,300,300,1.0,57.0303,52.7027,0.0,248.0,291.8386,0.3569,0.1326,0.9457,11.0077,0.2347
infected/Image_044.jpg,1,infected,300,300,1.0,57.0303,52.7027,0.0,248.0,291.8386,0.3569,0.1326,0.9457,11.0077,0.2347
infected/Image_045.jpg,1,infected,343,343,1.0,72.3962,62.3589,0.0,255.0,332.3134,0.2326,0.062,0.956,11.5466,0.1764
infected/Image_046.jpg,1,infected,343,343,1.0,72.3962,62.3589,0.0,255.0,332.3134,0.2326,0.062,0.956,11.5466,0.1764
infected/Image_047.jpg,1,infected,300,300,1.0,68.8214,59.4633,0.0,251.0,208.9646,0.36,0.1061,0.9696,10.9365,0.239
infected/Image_048.jpg,1,infected,300,300,1.0,68.8214,59.4633,0.0,251.0,208.9646,0.36,0.1061,0.9696,10.9365,0.239
infected/Image_049.jpg,1,infected,280,259,1.0811,53.0701,49.6229,0.0,255.0,250.7015,0.3617,0.1544,0.9448,10.8005,0.2174
infected/Image_050.jpg,1,infected,280,259,1.0811,53.0701,49.6229,0.0,255.0,250.7015,0.3617,0.1544,0.9448,10.8005,0.2174
infected/Image_051.jpg,1,infected,280,259,1.0811,54.8051,48.1837,0.0,255.0,346.3305,0.2819,0.0877,0.9165,11.6327,0.2482
infected/Image_052.jpg,1,infected,280,259,1.0811,54.8051,48.1837,0.0,255.0,346.3305,0.2819,0.0877,0.9165,11.6327,0.2482
infected/Image_053.jpg,1,infected,300,300,1.0,62.5906,52.4918,0.0,250.0,370.8273,0.3266,0.0913,0.9305,11.5534,0.2659
infected/Image_054.jpg,1,infected,300,300,1.0,62.5906,52.4918,0.0,250.0,370.8273,0.3266,0.0913,0.9305,11.5534,0.2659
infected/Image_055.jpg,1,infected,280,259,1.0811,52.236,48.4196,0.0,255.0,307.4161,0.2901,0.1173,0.9263,11.2988,0.2352
infected/Image_056.jpg,1,infected,280,259,1.0811,52.236,48.4196,0.0,255.0,307.4161,0.2901,0.1173,0.9263,11.2988,0.2352
infected/Image_057.jpg,1,infected,320,320,1.0,92.3567,80.0641,0.0,255.0,140.7019,0.3641,0.1515,0.9889,10.3985,0.197
infected/Image_058.jpg,1,infected,320,320,1.0,92.3567,80.0641,0.0,255.0,140.7019,0.3641,0.1515,0.9889,10.3985,0.197
infected/Image_059.jpg,1,infected,225,225,1.0,60.6848,50.3972,0.0,255.0,247.6696,0.3167,0.0862,0.95,11.4853,0.2498
infected/Image_060.jpg,1,infected,225,225,1.0,60.6848,50.3972,0.0,255.0,247.6696,0.3167,0.0862,0.95,11.4853,0.2498
infected/Image_061.jpg,1,infected,300,300,1.0,82.5801,63.4766,0.0,249.0,230.1019,0.3714,0.1809,0.9709,10.4291,0.2271
infected/Image_062.jpg,1,infected,300,300,1.0,82.5801,63.4766,0.0,249.0,230.1019,0.3714,0.1809,0.9709,10.4291,0.2271
infected/Image_063.jpg,1,infected,233,216,1.0787,61.4893,49.9568,0.0,255.0,292.6759,0.1856,0.0808,0.9368,11.9603,0.2569
infected/Image_064.jpg,1,infected,233,216,1.0787,61.4893,49.9568,0.0,255.0,292.6759,0.1856,0.0808,0.9368,11.9603,0.2569
infected/Image_065.jpg,1,infected,300,300,1.0,79.5878,62.3293,0.0,250.0,292.7558,0.3131,0.1322,0.9613,11.0376,0.2725
infected/Image_066.jpg,1,infected,300,300,1.0,79.5878,62.3293,0.0,250.0,292.7558,0.3131,0.1322,0.9613,11.0376,0.2725
infected/Image_067.jpg,1,infected,233,216,1.0787,58.7705,48.989,0.0,255.0,350.3306,0.1769,0.0611,0.9217,12.053,0.2797
infected/Image_068.jpg,1,infected,233,216,1.0787,58.7705,48.989,0.0,255.0,350.3306,0.1769,0.0611,0.9217,12.053,0.2797
infected/Image_069.jpg,1,infected,343,343,1.0,71.4196,64.118,0.0,255.0,191.2096,0.292,0.0914,0.9762,11.0388,0.1817
infected/Image_070.jpg,1,infected,343,343,1.0,71.4196,64.118,0.0,255.0,191.2096,0.292,0.0914,0.9762,11.0388,0.1817
infected/Image_071.jpg,1,infected,300,300,1.0,56.7221,48.5396,0.0,250.0,176.4768,0.3267,0.0693,0.9613,11.3373,0.2164
infected/Image_072.jpg,1,infected,300,300,1.0,56.7221,48.5396,0.0,250.0,176.4768,0.3267,0.0693,0.9613,11.3373,0.2164
infected/Image_073.jpg,1,infected,343,343,1.0,81.9568,84.3011,0.0,255.0,145.3428,0.4296,0.1665,0.9896,9.7272,0.1552
infected/Image_074.jpg,1,infected,343,343,1.0,81.9568,84.3011,0.0,255.0,145.3428,0.4296,0.1665,0.9896,9.7272,0.1552
infected/Image_075.jpg,1,infected,300,300,1.0,77.1753,60.9969,0.0,250.0,325.2883,0.3329,0.1166,0.9552,11.2121,0.2608
